created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 13 15:10:26 +0000 2023;1724082297765507259;"itu berita sblm rame boikot wahai manusia pro israiiill~ lagian yg boikot org lain. duit duit dia, terserah dialah  bnyk yg berempati tapi bingung mau gimana, mungkin boikot ini salah satu langkah kecil mereka yg bisa dilakukan..   lagian sensi amat sama yg berempati ke Palestina";0;0;0;0;in;1340725868465799169;1724082297765507259;BaroqahHusni;https://twitter.com/BaroqahHusni/status/1724082297765507259
Mon Nov 13 15:10:15 +0000 2023;1724082252920049854;"@syf2019 @nimbyfirouzi @tanyakanrl Ga masalah. Mmg hak setiap cstmr. Kalo mau boikot silahkan, tp plis jgn hate komen ke karyawannya. Mereka disitu cm niat kerja. Apalagi hate komennya nyerang personal.";0;0;0;0;in;1271118568155803648;1723921129960767634;LutfiaAyu8;https://twitter.com/LutfiaAyu8/status/1724082252920049854
Mon Nov 13 15:09:59 +0000 2023;1724082183860891720;"@Urrangawak Gak ada pilihan lain selain boikot danone aqua, kita jelas tak terima bila danone aqua meraup keuntungan di tanah air kita (indonesia) tapi keuntungan yg di dapat hanya di serahkan pada israel";0;0;0;0;in;1633653948019249152;1724039496680022497;BobyDar4;https://twitter.com/BobyDar4/status/1724082183860891720
Mon Nov 13 15:09:41 +0000 2023;1724082108652794304;"Faktanya,pemboikotan kita benar-benar berpengaruh besar pada mereka 👌 Ayo teruskan boikot selamanya.Biar produk mereka di beli oleh para pendukung Zionis Israel bin IsraHell👌 https://t.co/Ids2UtEFES";0;0;0;1;in;1588842390324137984;1724082108652794304;nenglaela93;https://twitter.com/nenglaela93/status/1724082108652794304
Mon Nov 13 15:09:27 +0000 2023;1724082049529860253;"Pesawat tempur Israhell mengebom rumah keluarga Salama, sebelah barat Khan Younis, selatan Gaza  Jangan lupa boikot 🇮🇱 #FreePalestineFromIsraelNOW One kiss Solaria Mantap Gus Kedokteran Knock Knock Hitam Amar https://t.co/pPspgzmzaV";0;0;0;0;in;1335424893383368706;1724082049529860253;Babypink127;https://twitter.com/Babypink127/status/1724082049529860253
Mon Nov 13 15:09:19 +0000 2023;1724082018584330347;"@Ir_solihin99 Boikot oi boikot 😂";0;0;0;0;fi;1556534669281153024;1724075105633067221;seorangabang;https://twitter.com/seorangabang/status/1724082018584330347
Mon Nov 13 15:09:09 +0000 2023;1724081974883832314;"@chairmanGLC Taknak boikot mcd";0;0;0;0;in;1125326001116893187;1724011942975774806;HasrulZulfadli;https://twitter.com/HasrulZulfadli/status/1724081974883832314
Mon Nov 13 15:09:14 +0000 2023;1724081996862025817;"Tgh delete apps yg associated directly with Israel. Boikot sehabis mampu.";0;0;0;0;en;30130900;1724081996862025817;aidateddy;https://twitter.com/aidateddy/status/1724081996862025817
Mon Nov 13 15:08:50 +0000 2023;1724081894965543288;"@OmJ_JeNggot Kalo munafik jangan tanggung lah boikot andoid dan windows https://t.co/iHOa7RKbND";0;0;0;0;in;1331550511649079297;1723900857035391279;TukangBatuWR;https://twitter.com/TukangBatuWR/status/1724081894965543288
Mon Nov 13 15:08:42 +0000 2023;1724081861331440098;"@Urrangawak Buat palestina selamat lewat boikot McD dan Danone aqua, perusahaan ini sebagai penyumbang dana terbesar ke israel.";0;0;0;0;in;1633654827048894466;1724039496680022497;alamsyah_torik;https://twitter.com/alamsyah_torik/status/1724081861331440098
Mon Nov 13 15:08:39 +0000 2023;1724081851164446780;"otw boikot N4ik H4ji kah ? 😂  Kasihan yang udah capek2 demo dan boikot barang malah ujung2nya begitu 😂";0;0;0;0;in;962972325732802560;1724081045950415159;biasmemilihaku;https://twitter.com/biasmemilihaku/status/1724081851164446780
Mon Nov 13 15:08:35 +0000 2023;1724081834580226310;"@Orangerain15 @tanyakanrl Berarti boleh juga kan ya kak untuk nggak boikot?";0;0;0;0;in;1281996442463137795;1723948888002855351;Bluetigermaster;https://twitter.com/Bluetigermaster/status/1724081834580226310
Mon Nov 13 15:08:09 +0000 2023;1724081725154951606;"@frshzrnmln @tubirfess bro ... boikot itu yang semampunya aja. makanya di listing biasanya produk yg ada subtitusinya.  kalo gak mampu boikot misal bakal mati kalo gak makan McD .. ya udah gak usah boikot. kalo tinggal di amrik hrs bayar pajak, ya itu kewajiban yg gak bisa diabaikan";0;0;0;0;in;17367049;1723372278573072521;bhaktiutama;https://twitter.com/bhaktiutama/status/1724081725154951606
Mon Nov 13 15:07:48 +0000 2023;1724081636575531383;"@HabisNontonFilm Kirain pada boikot disney";0;0;0;0;in;837868790;1724048545412731045;cilor10rb;https://twitter.com/cilor10rb/status/1724081636575531383
Mon Nov 13 15:07:43 +0000 2023;1724081616363106576;"@Urrangawak gerakan #TolakDanoneAqua paling mudah diikuti karena memang produk yg murah dan banyak digunakan jadi gerakannya masif. kalau boikot brand luxury, gak semuanya bisa ikutan";0;0;0;0;in;1715033593549070336;1724039496680022497;rizkiaryanto0;https://twitter.com/rizkiaryanto0/status/1724081616363106576
Mon Nov 13 15:07:36 +0000 2023;1724081587304952132;"@ohmybeautybank lagi coba make wardah😭 pernah coba pake ovale dulu bgt pas kehabisan gsrnier (jauh sblm boikot) langsunggg brek ott plss, trs balik lagi garnier nie smoga ganti wardah aman aj dhh";0;0;0;0;in;1377849298281394177;1723998049641619749;eouyu;https://twitter.com/eouyu/status/1724081587304952132
Mon Nov 13 15:07:03 +0000 2023;1724081447823348094;"Maybe yang terpaling boikot tu jeles kot tgk org ln bli zus .. dia xlh bli psl xlh nk mnum .. maybe pstu putar alam ckp zus sokong israhell .. sadis btol";0;0;0;0;in;405628570;1724081447823348094;CmahAmly;https://twitter.com/CmahAmly/status/1724081447823348094
Mon Nov 13 15:06:59 +0000 2023;1724081429292945850;""stella jeruk adalah produk lokal tapi tetep di boikot"";0;0;0;1;in;1647388429;1724081429292945850;ysrnyahya;https://twitter.com/ysrnyahya/status/1724081429292945850
Mon Nov 13 15:06:39 +0000 2023;1724081348212920773;"3. "KALO MAU BOIKOT, SEKALIAN DONG GAUSAH PAKE IG, FB, TWITTER DKK. KAN ITU JUGA PRODUK MAMARIKA"  4. "WKWK BODOH BGT NGAPAIN DEMO DEPAN KEDUBES AS. MENDING LANGSUNG KE PALESTINA SANA IKUT PERANG. GA ADA GUNA NYA BGT DEMO DEPAN KEDUBES AS"";0;1;0;0;in;603378635;1724080832053403777;fananjad;https://twitter.com/fananjad/status/1724081348212920773
Mon Nov 13 15:06:16 +0000 2023;1724081251441938594;"Dah lah announce jual tengah bulan. Lepas tu nanti mesti harga yahudi. Boikot lah beli kalau harga tiket mahal nau. Baik tengok live dekat rumah 😌";0;0;0;0;in;254452802;1724081251441938594;miniminly;https://twitter.com/miniminly/status/1724081251441938594
Mon Nov 13 15:06:28 +0000 2023;1724081300691464521;"😂😂 yang suruh boikot tu pastikan boikot semua kat bawah ni Tau";0;0;0;0;in;833291042032013312;1724081300691464521;kelalalalangan;https://twitter.com/kelalalalangan/status/1724081300691464521
Mon Nov 13 15:05:49 +0000 2023;1724081137595920758;"@Urrangawak Btw MUI sudah buka suara untuk kita semua melawan israel, mungkin kita tidak terjun di medan perang tapi ayok kita mulai boikot perusahaan pro israel seperti danone aqua";0;0;0;0;in;1633657867235622914;1724039496680022497;DianaPus011;https://twitter.com/DianaPus011/status/1724081137595920758
Mon Nov 13 15:05:48 +0000 2023;1724081131132452866;"@Urrangawak danone aqua wajib di boikot karna benar benar dia membantu negara israel untuk menyerang palestina";0;0;0;0;in;1687058628887597056;1724039496680022497;indiraputri1020;https://twitter.com/indiraputri1020/status/1724081131132452866
Mon Nov 13 15:05:43 +0000 2023;1724081111465148471;"@bukomangga_enak @gingercruel @XIANJlNG @adriankucka @tanyarlfes bener banget, kenapa demen heboh banget perkara boikot";0;0;0;0;in;1270902247052828673;1723987562874978444;bluberiyss;https://twitter.com/bluberiyss/status/1724081111465148471
Mon Nov 13 15:05:27 +0000 2023;1724081045950415159;"SDM boikot SDM penjarah SDM Pale SDM normies SDM fanatik 4gam4  be like... https://t.co/NwtNv6A797";0;1;0;0;in;962972325732802560;1724081045950415159;biasmemilihaku;https://twitter.com/biasmemilihaku/status/1724081045950415159
Mon Nov 13 15:05:06 +0000 2023;1724080954883592220;"@ToniSaja_ @DeHoutman_id @jokowi Apa akan ada gerakan boikot Arab?? 😅😅";0;0;0;0;in;1314087531231637504;1724069920760320070;Daniel_Moreno77;https://twitter.com/Daniel_Moreno77/status/1724080954883592220
Mon Nov 13 15:04:50 +0000 2023;1724080889314132099;"@CalibreCadaver @chairmanGLC @nody_meow Nak boikot? Gohed. Instigate? Tarabolela.  Kalau awak rasa McD salahguna Akta Hasutan, laporlah ke SPRM. Apa pun, nanti the 60 org pandai pandai lah cari lawyer lah untuk iawan hujah";0;0;0;0;in;233059685;1724011942975774806;jay91959;https://twitter.com/jay91959/status/1724080889314132099
Mon Nov 13 15:04:30 +0000 2023;1724080806065496467;"@bjarbjir bk yh? wah hrusnya boikot neeh";2;0;0;0;in;1692024858434289664;1724080001266643012;aeriscake;https://twitter.com/aeriscake/status/1724080806065496467
Mon Nov 13 15:04:33 +0000 2023;1724080815762755968;"path one is funding for genocide while path two is doing nothing EVEN when they have power to stop genocide happening memang elok kena boikot dahla harga pun 🤡";0;0;0;0;en;4467465673;1724080815762755968;nureenjaz_;https://twitter.com/nureenjaz_/status/1724080815762755968
Mon Nov 13 15:04:16 +0000 2023;1724080748129599620;"@aguschnd325 @whjsaranghae @xxxyngii @tanyarlfes Kalo lo mau merk merk yg diboikot ttp untung YA LO BORONG LAH SONO. orng orng yg boikot jg masih nguntungin merk lain kali. Mereka beli produk merk lain. GAUSAH MAKSA ORNG MESTI BELI MERK A B C. GAADA YG LARANG LU BELI SBUC NAPE LU MAKSA ORNG BELI PDHL GAADA YG LARANG LU BELI!";0;2;0;1;in;1430050676399165450;1723987562874978444;KurangMotivasi;https://twitter.com/KurangMotivasi/status/1724080748129599620
Mon Nov 13 15:04:03 +0000 2023;1724080693905641639;"@Bluelinedot @papantsuu @Doublehenry1 @ffffvalue @istrirajaminyak @aimr0d mana. coba. solusi hanya soal isi perut doang kan karena boikot franchise makanan. sedangkan sektor industri lain masih digunakan. wkwkwkwk. giliran dibantah langsung koar² "boikot apa yg bisa diboikot" Lol";0;1;0;0;in;1536947530813952000;1723610230163144916;Leonidas666_;https://twitter.com/Leonidas666_/status/1724080693905641639
Mon Nov 13 15:04:02 +0000 2023;1724080686494294068;"Baru perasan reward points aku dgn mcd ada dlm 6k lagi. Sb akan expired, so nnt boleh la makan mcd secara free. Akan ku redeem semuanya. Then nk delete the apps from my phone.   Cringe ke? Haha don’t care. Aku guna yg selagi boleh and boikot sehabis mampu. Dunia nak habis dah ni.";0;0;0;0;in;30130900;1724080686494294068;aidateddy;https://twitter.com/aidateddy/status/1724080686494294068
Mon Nov 13 15:03:58 +0000 2023;1724080669712957924;"Tu aku cakap nk boikot ni susah sikit sebab merata produk depa. Skincare tu dh la bertahun aku pkai😌 pelan2 tukar InsyaAllah";0;0;0;0;in;1169144106;1724080669712957924;she_rns;https://twitter.com/she_rns/status/1724080669712957924
Mon Nov 13 15:03:54 +0000 2023;1724080654382694762;"@CNNIndonesia Boikot produk2 negara arab yg dimaksud";0;0;0;0;in;750183144188289024;1723949747512422755;el_fakunzain;https://twitter.com/el_fakunzain/status/1724080654382694762
Mon Nov 13 15:03:43 +0000 2023;1724080606555074878;"@aceeelcantik Misal boikot suatu barang nih, udah beli eh habis itu di buang karena barang tsb produknya si anu. Kan mubazir 🤔";0;0;0;0;in;812911153;1724079574630404491;Walpurgisth;https://twitter.com/Walpurgisth/status/1724080606555074878
Mon Nov 13 15:03:33 +0000 2023;1724080567665463586;""Jika Arab Saudi tak menghentikan boikot ini, Amerika akan mengebom ladang2 minyak Anda." Raja Faisal menjawab, "Andalah yg tidak dapat hidup tanpa minyak, kami berasal dari gurun dan pendahulu kami hidup dng kurma dan susu. Kami dapat hidup kembali lagi dng cara seperti itu." https://t.co/3uhlD7Zg4f";0;1;0;2;in;59980041;1724080552561787237;Greschinov;https://twitter.com/Greschinov/status/1724080567665463586
Mon Nov 13 15:02:52 +0000 2023;1724080393413165382;"@adriankucka @tanyarlfes Hahaha bener,  ga usah protes dan nentang pilihan orang Yg protes ya kalian2 aja coba yg borong jualan barang2 yg d boikot itu, Secara kita belanja pun pake duit sendiri, hasil kerja sendiri jadi bebas mau di alokasi kan buat beli barang apa aja";0;0;0;0;in;1279272785898921984;1723987562874978444;penikmatkoppi22;https://twitter.com/penikmatkoppi22/status/1724080393413165382
Mon Nov 13 15:02:51 +0000 2023;1724080388073730078;"boikot je lah suruh boikot pon susah ka memang boleh mati ka kalau tak makan mcd/kfc semua tu";0;0;0;0;in;1271436448286162945;1724080388073730078;finacadbury;https://twitter.com/finacadbury/status/1724080388073730078
Mon Nov 13 15:02:29 +0000 2023;1724080297262944753;"Suruh aja doi yang ga boikot, buat tetep ikutan sedekah dan support palestina. Bismillah.";0;0;0;0;in;1179621461473906690;1724079910963282430;mirlamiyan;https://twitter.com/mirlamiyan/status/1724080297262944753
Mon Nov 13 15:02:24 +0000 2023;1724080275976765733;"@tanyarlfes tapi ya gitu pasti balik lagi, pasti ada yg mau 100% boikot anda yg engga, dan mungkin ada yg setengah setengah. ya gapapa lah, gausah urusin keputusan orang lain saling hargai aja usaha orang buat dukung 🍉";0;1;0;0;in;1109839845789073408;1723987562874978444;bIueadngrey;https://twitter.com/bIueadngrey/status/1724080275976765733
Mon Nov 13 15:02:16 +0000 2023;1724080244238479807;"@Leonidas666_ @papantsuu @ffffvalue @istrirajaminyak @aimr0d EGP, sok ngaruh banget statement lu.  Yang boikot lebih tahu mana yang terbaik buat konsumsi dirinya daripada elu.";0;1;0;0;in;263535077;1723610230163144916;Bluelinedot;https://twitter.com/Bluelinedot/status/1724080244238479807
Mon Nov 13 15:02:08 +0000 2023;1724080209354432886;"@aguschnd325 @whjsaranghae @xxxyngii @tanyarlfes Digas balik ceming kan lu self defend ngakunya I don't care. Yaudah kl don't care gausah bacotin orng yg boikot. Gausah nyalahin orng boikot. Orng yg boikot jg ekonomi masih jalan bodoh karena mereka masih konsumsi. Tp mereka pake merk lain.";0;1;0;1;in;1430050676399165450;1723987562874978444;KurangMotivasi;https://twitter.com/KurangMotivasi/status/1724080209354432886
Mon Nov 13 15:02:07 +0000 2023;1724080204115775716;"@CutSarina5 Alhamdulillah.....dah lama boikot sendiri";0;0;0;0;in;1625829447185350657;1723479960256676195;IHendarsu;https://twitter.com/IHendarsu/status/1724080204115775716
Mon Nov 13 15:02:06 +0000 2023;1724080203197268076;"@MadameSuga Aku termasuk yg ga setuju/ikutan boikot krn alasan ini. *abis dr McD dan starbuck di Kaohsiung* 🤫";0;0;0;0;in;48290969;1724072849865056606;PipitSefita;https://twitter.com/PipitSefita/status/1724080203197268076
Mon Nov 13 15:01:57 +0000 2023;1724080161598120209;"personal opinion soal boikot 🙏 https://t.co/cYqMVFScI0";0;0;0;0;in;1141694524592287744;1724080161598120209;bucintaehyung11;https://twitter.com/bucintaehyung11/status/1724080161598120209
Mon Nov 13 15:01:37 +0000 2023;1724080079435968949;"Akutu gemes banget masalah boikot ini, cuma yauda deh buat diri sendiri ajaa";0;0;0;0;in;2357898804;1724080079435968949;aamabektii;https://twitter.com/aamabektii/status/1724080079435968949
Mon Nov 13 15:01:21 +0000 2023;1724080012335439890;"@chairmanGLC Lgi laa rasa nk boikot. Xruginpon xmkn mcd burger ramly tepi jalan lgi sedap mmg kli ni ak boikot mcd kaw2.";0;0;0;0;in;1450065121896632320;1724011942975774806;cocho_kim;https://twitter.com/cocho_kim/status/1724080012335439890
Mon Nov 13 15:00:57 +0000 2023;1724079910963282430;"Aku cuman side eye ke orang2 yang mengagung2kan tindakan both memilih boikot dan tidak memilih boikot. Boikot silahkan, beri arahan boikot silahkan, belum bisa boikot yaudah. Mending kalian urusin cara boikot kalian masing2. Sebaliknya ga usah pamer kalo ga boikot.";0;1;0;0;in;1179621461473906690;1724079910963282430;mirlamiyan;https://twitter.com/mirlamiyan/status/1724079910963282430
Mon Nov 13 15:00:54 +0000 2023;1724079900104315359;"boikot disney ini gw nonton inside out 2 dari layarkaca lebahganteng aja kaliya????";0;0;0;0;in;1522632623473905664;1724079900104315359;plainwheat;https://twitter.com/plainwheat/status/1724079900104315359
Mon Nov 13 15:00:51 +0000 2023;1724079888624435297;"@endangbambhang @piyopikavet Nah itu. Effort bgt itu yg bisa delay pasokan senjata, biarpun ga hentikan perang. Di Indo bisa bantu danai aksi2 spt itu, lewat gofundme. Atau klopun mau boikot, gosah yg udah dibeli trus dirusak. Gosah beli yg baru aja.";0;0;0;0;in;65671754;1723853024315978047;christalynda;https://twitter.com/christalynda/status/1724079888624435297
Mon Nov 13 15:00:40 +0000 2023;1724079842419990806;"@maafcakaplah Lain Kali boikot kaki fitnah Tu ketat2 &amp  sungguh2 juga baru Allah syg...";0;0;0;0;in;379669109;1723925543509426568;pasungpuaka;https://twitter.com/pasungpuaka/status/1724079842419990806
Mon Nov 13 15:00:12 +0000 2023;1724079722433569057;"and lagi satu, people yang "kenapa tak boikot sekali apple google apa semua?" NYAHHHHH BOYCOTT MANA YANG MAMPU NYAHH ‼️MAMPU‼️YIHHH ITUPUN MO DIAJAR";0;0;0;0;in;1120613749881094145;1724078313105453224;allyiyeyo;https://twitter.com/allyiyeyo/status/1724079722433569057
Mon Nov 13 14:59:52 +0000 2023;1724079637687615813;"@Isra_KK Nah itu mas, pengalaman boikot ku kemaren, kalo mau bener tuh ya harus bener bener kompak. Harus nurunin ego semua, kalo cuma satu dua yg boikot tp yg lain masih beli produknya ya percuma. Aku kemaren boikot berhasil, sampe bikin agensi batal comeback";0;0;0;2;in;1289170748666339330;1724077429147541602;jipaveda;https://twitter.com/jipaveda/status/1724079637687615813
Mon Nov 13 14:59:44 +0000 2023;1724079604745507035;"Tapi betul jugak. Boikot tu hak individu 😁";0;0;0;0;in;771673531843088385;1724079053236506876;nfatinirdinamka;https://twitter.com/nfatinirdinamka/status/1724079604745507035
Mon Nov 13 14:59:39 +0000 2023;1724079583677608243;"@Bluelinedot @papantsuu @Doublehenry1 @ffffvalue @istrirajaminyak @aimr0d info diatas apa emang? boikot tanpa solusi lu bilang trusted? lawak lo purba";0;1;0;0;in;1536947530813952000;1723610230163144916;Leonidas666_;https://twitter.com/Leonidas666_/status/1724079583677608243
Mon Nov 13 14:59:37 +0000 2023;1724079574630404491;"boikot ini keberpihakan. bebas sih mau boikot atau kada. cuma ketika di akhirat dan Allah betakun dimana dan apa yang aku lakukan untuk palestine minimal kawa bersaksi kalo aku berpihak ke palestine dgn cara memboikot. soalnya menyumbang dana sudah kd kawa apalagi umpat beperang";0;1;0;2;in;1213240207819956224;1724079574630404491;aceeelcantik;https://twitter.com/aceeelcantik/status/1724079574630404491
Mon Nov 13 14:59:25 +0000 2023;1724079527721320754;"@convomfs Boikot juga ga nih";0;0;0;0;in;1273660352379510786;1724034534109548858;wondermid2;https://twitter.com/wondermid2/status/1724079527721320754
Mon Nov 13 14:59:22 +0000 2023;1724079512676442511;"gua boikot juga lu anjig lama lama";0;0;0;0;in;1275656774419431428;1724079512676442511;saelrmoon;https://twitter.com/saelrmoon/status/1724079512676442511
Mon Nov 13 14:59:21 +0000 2023;1724079508935016732;"nah kan ada lagi menfess tentang ini, kata gue juga pembahasan tentang brand yang di boikot ga akan ada ujungnya";0;1;0;0;in;1720300198046654464;1724079508935016732;nndzcl;https://twitter.com/nndzcl/status/1724079508935016732
Mon Nov 13 14:59:16 +0000 2023;1724079486898213182;"@adriankucka @tanyarlfes Gw yg ga pakai sebagian produk tsb aja dibilang ikut-ikutan boikot, padahal emang ga cocok sama gw, sampe diprotes gimana nasib karyawan mereka nanti, gw dibilang ga ada empati, dll";0;1;0;1;in;589731795;1723987562874978444;rully_rui;https://twitter.com/rully_rui/status/1724079486898213182
Mon Nov 13 14:59:04 +0000 2023;1724079437862592533;"@maafcakaplah Ye..melampaui diorg ni..dh jdi macam satu trend boikot2 ni..x tau la bnda boikot btul ke idok, tkut tgn je nk memboikot, tpi x pon..if boikot pun jgn la smpai ganti tugas Tuhan, org x boikot dikatanya orang Israel la, masuk neraka la..takut dgn diorg ni...tgur dosa dgn dosa..";0;0;0;0;in;940951013694906370;1723925543509426568;deejaboo_99;https://twitter.com/deejaboo_99/status/1724079437862592533
Mon Nov 13 14:59:01 +0000 2023;1724079426877767721;"@demarconyol Terimakasih atas jasamu membela kebaikan kak adi, keep calm and boikot israel";0;0;0;1;in;4879712955;1724077753614614815;hidemehyde;https://twitter.com/hidemehyde/status/1724079426877767721
Mon Nov 13 14:58:59 +0000 2023;1724079416127660276;"@papantsuu @Leonidas666_ @Doublehenry1 @ffffvalue @istrirajaminyak @aimr0d Oh ya? Elu tahunya cuma mendewakan produk² Isriwil.  Makannya elu ikutan riwil ketika ada boikot produk Isriwil";0;0;0;0;in;263535077;1723610230163144916;Bluelinedot;https://twitter.com/Bluelinedot/status/1724079416127660276
Mon Nov 13 14:58:39 +0000 2023;1724079334682669359;"buzed komennya 😔 scara ga lngsung mereka udaa buta sm nasib keadaan negara sendiri😒 negara lain yg diperhatiin soalnya 1 agama bozz, pdhal masih bnyak kasus kemanusiaan di negara sendiri.. sabar mba/mas, pak/bu yg kena imbas efek boikot rusuh ini";0;0;0;0;in;1557870638;1724079334682669359;riverleecrush;https://twitter.com/riverleecrush/status/1724079334682669359
Mon Nov 13 14:58:34 +0000 2023;1724079311945445452;"@duo_SN @teokjinni @tanyakanrl gw sih ga masalah kok boikot dll , cuma banyak tuh yang bilang uda jelasin dipaksa gimana di bawah" gw .  gw si mah mau pada boikot dll gw juga ga peduli kok duit sendiri kan yang penting ga maksa kesannya secara halus atau secara langsung..  hak masing" kok";0;0;0;0;in;1537353592461721600;1723921129960767634;aguschnd325;https://twitter.com/aguschnd325/status/1724079311945445452
Mon Nov 13 14:57:55 +0000 2023;1724079147985830373;"@tanyakanrl Pertama, semoga kamu bisa dapet kerjaan lagi ya nder,aamiin. Kedua, apa yang kamu bilang FOMO boikot itu salah deh itu kan hak konsumen mau uangnya dipake buat beli apa";0;0;0;0;in;1220560371649404928;1723921129960767634;hanszoee;https://twitter.com/hanszoee/status/1724079147985830373
Mon Nov 13 14:57:36 +0000 2023;1724079069816660428;"@never_alonely Boikot";0;0;0;0;in;1569516391191162881;1721554619984421271;ariefprayudi1;https://twitter.com/ariefprayudi1/status/1724079069816660428
Mon Nov 13 14:57:36 +0000 2023;1724079068629586144;"@Yoerikoe @alqindy14 @memelord_666666 Itu mah solusi untuk konsumen, dan boikot begini berefek negative buat orang indonesia yang kerja di perusahaan yg lagi diboikot";0;0;0;1;in;1549677542617288704;1724029465100190110;listudan;https://twitter.com/listudan/status/1724079068629586144
Mon Nov 13 14:57:35 +0000 2023;1724079064422760566;"@_MbakSri_ Ga ada rencana boikot naik haji?? 🤪🤪🤪  Hamas pesek kalo ke saudi ga berani takut di boikot naik haji 🤣🤣🤣";0;1;0;0;in;1172235886412455936;1724037706387480603;AriozAtha;https://twitter.com/AriozAtha/status/1724079064422760566
Mon Nov 13 14:57:23 +0000 2023;1724079012811862238;"@convomfs Ini Indonesia as konsumen besar negara negara ini bisa menekan balik nggak sih pake ancaman balik? Pasukan nitizen indo dah gerak waktu boikot, nitizen indo harus dikerahkan lagi tapi butuh strategi🙏";0;0;0;0;in;1122067438797905920;1724034534109548858;halloheaven4;https://twitter.com/halloheaven4/status/1724079012811862238
Mon Nov 13 14:57:21 +0000 2023;1724079005077491961;"@dawiguna @SantorinisSun Berani ga boikot barang yg diekspor?";0;0;0;0;in;780196061440712704;1723941082197622831;sahisrw;https://twitter.com/sahisrw/status/1724079005077491961
Mon Nov 13 14:56:47 +0000 2023;1724078865180721203;"@edryakim Haha nk boikot stranger thing tk";0;0;0;0;in;1693639658;1724055431306158120;_dakal;https://twitter.com/_dakal/status/1724078865180721203
Mon Nov 13 14:56:45 +0000 2023;1724078853193425141;"@stwbrrymojiito @teokjinni @tanyakanrl Dulu kan di suruh boikot prodak cin* sekarang di suruh boikot produk zionis Kita ada pion doang buat saling butuh antar saudara sebangsa";0;0;0;0;in;1111315716;1723921129960767634;masfreewifi;https://twitter.com/masfreewifi/status/1724078853193425141
Mon Nov 13 14:56:28 +0000 2023;1724078783484121460;"@tanyarlfes kalo kata gua mah buat boikot alias ga beli produk2 begini tuh emang kayak susah susah gampang sih. jujur kayak mekdi gua kadang butuh workspace dia yg 24hr buka, trus jenis makanannya beragam ada minuman, makan berat dan cemilan dengan harga cukup terjangkau trus";0;1;0;0;in;1109839845789073408;1723987562874978444;bIueadngrey;https://twitter.com/bIueadngrey/status/1724078783484121460
Mon Nov 13 14:56:05 +0000 2023;1724078685983265219;"Jika ada yang terPHK akibat boikot produk, maka umat muslim lah yang wajib menolong. .";0;0;0;0;in;351431755;1724078685983265219;yosisaputras;https://twitter.com/yosisaputras/status/1724078685983265219
Mon Nov 13 14:56:01 +0000 2023;1724078668388147599;"@fifi_93x55 anak rekan kerja aku itu masih SD. katanya dia tau boikot produk pro isriwil dr gurunya. Rekan kerja aku berharap gurunya gg usah bawa2 masalah palestine ke sekolah, karena sekolahnya juga dinegeri bukan disekolah basis islam.";0;1;0;0;in;2355678930;1723714396671955296;galerysaya;https://twitter.com/galerysaya/status/1724078668388147599
Mon Nov 13 14:55:46 +0000 2023;1724078607998575059;"@aguschnd325 @teokjinni @tanyakanrl Gak ada yg maksa ikutan, soal boykot urusan hati masing², tempat gue alfa indo kgk ad yg lebel boikot mcd kfc kagak ada, cuma itu balik ke hati dan pemikiran custumerny";0;2;0;0;in;590506367;1723921129960767634;duo_SN;https://twitter.com/duo_SN/status/1724078607998575059
Mon Nov 13 14:55:44 +0000 2023;1724078597500248499;"Wkwk  boikot arab kelen wey?";0;0;1;1;in;968400474842918913;1724078597500248499;cutty_____;https://twitter.com/cutty_____/status/1724078597500248499
Mon Nov 13 14:55:43 +0000 2023;1724078592940990774;"@dawiguna @SantorinisSun Yg penting itu siapa yg berani mediasi hamas &amp  israel supaya gencatan senjata dulu. Selama perang berlangsung ya korban jalan terus. Boikot ga ada guna.";0;0;0;0;in;780196061440712704;1723941082197622831;sahisrw;https://twitter.com/sahisrw/status/1724078592940990774
Mon Nov 13 14:55:38 +0000 2023;1724078574662213814;"@Urrangawak danone aqua itu penyumbang terbesar untuk israel, kita harus boikot danone aqua !!";0;0;0;0;in;1704100742775402497;1724039496680022497;saifulandri59;https://twitter.com/saifulandri59/status/1724078574662213814
Mon Nov 13 14:55:38 +0000 2023;1724078573689122985;"Diorang buat camni,rasanya lagi ramai akan boikot kot..";0;0;0;0;in;265884575;1724078573689122985;Rizone92;https://twitter.com/Rizone92/status/1724078573689122985
